"","graph.type","degree","p","power","mu","size","graph.no","lambda_0","lambda_1","lambda_2"
"1","small-world",5,0.03,NA,NA,500,1,-1.5,0.75,0.5
"2","small-world",5,0.05,NA,NA,500,2,-1.5,0.75,0.5
"3","small-world",5,0.1,NA,NA,500,3,-1.5,0.75,0.5
"4","small-world",5,0.03,NA,NA,1000,4,-1.5,0.75,0.5
"5","small-world",5,0.05,NA,NA,1000,5,-1.5,0.75,0.5
"6","small-world",5,0.1,NA,NA,1000,6,-1.5,0.75,0.5
"7","small-world",5,0.03,NA,NA,5000,7,-1.5,0.75,0.5
"8","small-world",5,0.05,NA,NA,5000,8,-1.5,0.75,0.5
"9","small-world",5,0.1,NA,NA,5000,9,-1.5,0.75,0.5
"10","barabasi-albert",NA,NA,0.1,NA,500,10,-1.5,0.75,0.5
"11","barabasi-albert",NA,NA,0.3,NA,500,11,-1.5,0.75,0.5
"12","barabasi-albert",NA,NA,0.5,NA,500,12,-1.5,0.75,0.5
"13","barabasi-albert",NA,NA,0.1,NA,1000,13,-1.5,0.75,0.5
"14","barabasi-albert",NA,NA,0.3,NA,1000,14,-1.5,0.75,0.5
"15","barabasi-albert",NA,NA,0.5,NA,1000,15,-1.5,0.75,0.5
"16","barabasi-albert",NA,NA,0.1,NA,5000,16,-1.5,0.75,0.5
"17","barabasi-albert",NA,NA,0.3,NA,5000,17,-1.5,0.75,0.5
"18","barabasi-albert",NA,NA,0.5,NA,5000,18,-1.5,0.75,0.5
"19","sbm",NA,NA,NA,0.1,500,19,-1.5,0.75,0.5
"20","sbm",NA,NA,NA,0.2,500,20,-1.5,0.75,0.5
"21","sbm",NA,NA,NA,0.3,500,21,-1.5,0.75,0.5
"22","sbm",NA,NA,NA,0.1,1000,22,-1.5,0.75,0.5
"23","sbm",NA,NA,NA,0.2,1000,23,-1.5,0.75,0.5
"24","sbm",NA,NA,NA,0.3,1000,24,-1.5,0.75,0.5
"25","sbm",NA,NA,NA,0.1,5000,25,-1.5,0.75,0.5
"26","sbm",NA,NA,NA,0.2,5000,26,-1.5,0.75,0.5
"27","sbm",NA,NA,NA,0.3,5000,27,-1.5,0.75,0.5
"110","sbm",NA,NA,NA,0.2,1000,23,-1.5,0.25,0
"210","sbm",NA,NA,NA,0.2,500,20,-1.5,0.25,0
"31","sbm",NA,NA,NA,0.2,5000,26,-1.5,0.25,0
"49","sbm",NA,NA,NA,0.2,1000,23,-1.5,0.5,0
"51","sbm",NA,NA,NA,0.2,500,20,-1.5,0.5,0
"61","sbm",NA,NA,NA,0.2,5000,26,-1.5,0.5,0
"71","sbm",NA,NA,NA,0.2,1000,23,-1.5,0.75,0
"81","sbm",NA,NA,NA,0.2,500,20,-1.5,0.75,0
"91","sbm",NA,NA,NA,0.2,5000,26,-1.5,0.75,0
"101","sbm",NA,NA,NA,0.2,1000,23,-1.5,1,0
"111","sbm",NA,NA,NA,0.2,500,20,-1.5,1,0
"121","sbm",NA,NA,NA,0.2,5000,26,-1.5,1,0
"131","sbm",NA,NA,NA,0.2,1000,23,-1.5,0.25,0.1
"141","sbm",NA,NA,NA,0.2,500,20,-1.5,0.25,0.1
"151","sbm",NA,NA,NA,0.2,5000,26,-1.5,0.25,0.1
"161","sbm",NA,NA,NA,0.2,1000,23,-1.5,0.5,0.1
"171","sbm",NA,NA,NA,0.2,500,20,-1.5,0.5,0.1
"181","sbm",NA,NA,NA,0.2,5000,26,-1.5,0.5,0.1
"191","sbm",NA,NA,NA,0.2,1000,23,-1.5,0.75,0.1
"201","sbm",NA,NA,NA,0.2,500,20,-1.5,0.75,0.1
"211","sbm",NA,NA,NA,0.2,5000,26,-1.5,0.75,0.1
"221","sbm",NA,NA,NA,0.2,1000,23,-1.5,1,0.1
"231","sbm",NA,NA,NA,0.2,500,20,-1.5,1,0.1
"241","sbm",NA,NA,NA,0.2,5000,26,-1.5,1,0.1
"251","sbm",NA,NA,NA,0.2,1000,23,-1.5,0.25,0.5
"261","sbm",NA,NA,NA,0.2,500,20,-1.5,0.25,0.5
"271","sbm",NA,NA,NA,0.2,5000,26,-1.5,0.25,0.5
"28","sbm",NA,NA,NA,0.2,1000,23,-1.5,0.5,0.5
"29","sbm",NA,NA,NA,0.2,500,20,-1.5,0.5,0.5
"30","sbm",NA,NA,NA,0.2,5000,26,-1.5,0.5,0.5
"34","sbm",NA,NA,NA,0.2,1000,23,-1.5,1,0.5
"35","sbm",NA,NA,NA,0.2,500,20,-1.5,1,0.5
"36","sbm",NA,NA,NA,0.2,5000,26,-1.5,1,0.5
"37","sbm",NA,NA,NA,0.2,1000,23,-1.5,0.25,1
"38","sbm",NA,NA,NA,0.2,500,20,-1.5,0.25,1
"39","sbm",NA,NA,NA,0.2,5000,26,-1.5,0.25,1
"40","sbm",NA,NA,NA,0.2,1000,23,-1.5,0.5,1
"41","sbm",NA,NA,NA,0.2,500,20,-1.5,0.5,1
"42","sbm",NA,NA,NA,0.2,5000,26,-1.5,0.5,1
"43","sbm",NA,NA,NA,0.2,1000,23,-1.5,0.75,1
"44","sbm",NA,NA,NA,0.2,500,20,-1.5,0.75,1
"45","sbm",NA,NA,NA,0.2,5000,26,-1.5,0.75,1
"46","sbm",NA,NA,NA,0.2,1000,23,-1.5,1,1
"47","sbm",NA,NA,NA,0.2,500,20,-1.5,1,1
"48","sbm",NA,NA,NA,0.2,5000,26,-1.5,1,1
